Date,Mid
3 10 2022,1.20938
30 09 2022,1.20139
29 09 2022,1.20343
28 09 2022,1.20342
27 09 2022,1.20367
26 09 2022,1.19805
23 09 2022,1.19655
22 09 2022,1.19784
21 09 2022,1.19474
20 09 2022,1.19099
19 09 2022,1.18977
16 09 2022,1.19124
15 09 2022,1.18657
14 09 2022,1.1874
13 09 2022,1.18125
12 09 2022,1.17603
9 09 2022,1.17759
8 09 2022,1.17298
7 09 2022,1.17169
6 09 2022,1.17642
5 09 2022,1.17918
2 09 2022,1.17635
1 09 2022,1.1812
31 08 2022,1.18492
30 08 2022,1.19323
29 08 2022,1.19031
26 08 2022,1.19132
25 08 2022,1.19779
24 08 2022,1.19017
23 08 2022,1.19286
22 08 2022,1.19476
19 08 2022,1.19844
18 08 2022,1.19284
17 08 2022,1.19001
16 08 2022,1.1846
15 08 2022,1.19128
12 08 2022,1.19692
11 08 2022,1.20627
10 08 2022,1.20898
9 08 2022,1.20488
8 08 2022,1.20704
5 08 2022,1.2174
4 08 2022,1.21664
3 08 2022,1.21493
2 08 2022,1.21551
1 08 2022,1.21167
29 07 2022,1.20908
28 07 2022,1.20372
27 07 2022,1.21053
26 07 2022,1.21274
25 07 2022,1.21177
22 07 2022,1.21303
21 07 2022,1.21172
20 07 2022,1.21172
19 07 2022,1.20482
18 07 2022,1.20481
15 07 2022,1.1962
14 07 2022,1.20351
13 07 2022,1.20428
12 07 2022,1.20594
11 07 2022,1.21298
8 07 2022,1.21201
7 07 2022,1.21096
6 07 2022,1.21597
5 07 2022,1.21363
4 07 2022,1.21667
1 07 2022,1.2164
30 06 2022,1.21044
29 06 2022,1.21284
28 06 2022,1.20749
27 06 2022,1.20748
24 06 2022,1.2153
23 06 2022,1.21568
22 06 2022,1.22062
21 06 2022,1.21496
20 06 2022,1.22174
17 06 2022,1.2271
16 06 2022,1.23239
15 06 2022,1.22957
14 06 2022,1.22473
13 06 2022,1.22141
10 06 2022,1.22141
9 06 2022,1.22952
8 06 2022,1.22478
7 06 2022,1.2216
6 06 2022,1.21922
3 06 2022,1.21844
2 06 2022,1.2185
1 06 2022,1.2161
31 05 2022,1.22432
30 05 2022,1.22559
27 05 2022,1.22656
26 05 2022,1.21985
25 05 2022,1.21505
24 05 2022,1.21432
23 05 2022,1.21086
20 05 2022,1.21398
19 05 2022,1.20799
18 05 2022,1.21022
17 05 2022,1.21091
16 05 2022,1.21202
13 05 2022,1.21454
12 05 2022,1.21132
11 05 2022,1.20692
10 05 2022,1.19256
9 05 2022,1.1962
6 05 2022,1.19127
5 05 2022,1.19157
4 05 2022,1.18905
