Date,Mid
3 10 2022,1.38736
30 09 2022,1.38381
29 09 2022,1.39271
28 09 2022,1.39371
27 09 2022,1.39846
26 09 2022,1.38261
23 09 2022,1.37829
22 09 2022,1.37773
21 09 2022,1.37507
20 09 2022,1.37387
19 09 2022,1.37054
16 09 2022,1.37325
15 09 2022,1.37371
14 09 2022,1.38224
13 09 2022,1.3897
12 09 2022,1.38272
9 09 2022,1.38314
8 09 2022,1.37791
7 09 2022,1.3739
6 09 2022,1.37601
5 09 2022,1.37855
2 09 2022,1.37314
1 09 2022,1.36863
31 08 2022,1.37474
30 08 2022,1.38623
29 08 2022,1.38662
26 08 2022,1.39277
25 08 2022,1.39627
24 08 2022,1.38896
23 08 2022,1.38998
22 08 2022,1.39129
19 08 2022,1.39891
18 08 2022,1.39332
17 08 2022,1.38866
16 08 2022,1.38183
15 08 2022,1.38357
12 08 2022,1.38938
11 08 2022,1.39486
10 08 2022,1.39516
9 08 2022,1.39247
8 08 2022,1.39244
5 08 2022,1.40046
4 08 2022,1.41389
3 08 2022,1.41126
2 08 2022,1.40608
1 08 2022,1.40059
29 07 2022,1.39725
28 07 2022,1.3859
27 07 2022,1.39021
26 07 2022,1.38988
25 07 2022,1.38497
22 07 2022,1.38143
21 07 2022,1.38303
20 07 2022,1.38154
19 07 2022,1.37379
18 07 2022,1.37291
15 07 2022,1.36715
14 07 2022,1.36435
13 07 2022,1.36669
12 07 2022,1.36588
11 07 2022,1.37023
8 07 2022,1.37181
7 07 2022,1.36846
6 07 2022,1.3736
5 07 2022,1.36743
4 07 2022,1.36784
1 07 2022,1.37304
30 06 2022,1.36497
29 06 2022,1.36289
28 06 2022,1.35852
27 06 2022,1.35769
24 06 2022,1.36861
23 06 2022,1.36336
22 06 2022,1.36628
21 06 2022,1.35102
20 06 2022,1.35621
17 06 2022,1.35611
16 06 2022,1.36078
15 06 2022,1.36259
14 06 2022,1.35664
13 06 2022,1.3663
10 06 2022,1.3663
9 06 2022,1.3623
8 06 2022,1.34988
7 06 2022,1.34489
6 06 2022,1.35408
3 06 2022,1.35532
2 06 2022,1.34904
1 06 2022,1.33586
31 05 2022,1.34608
30 05 2022,1.35142
27 05 2022,1.35832
26 05 2022,1.35081
