Date,Mid
3 10 2022,0.91348
30 09 2022,0.91651
29 09 2022,0.91639
28 09 2022,0.91561
27 09 2022,0.91479
26 09 2022,0.91972
23 09 2022,0.92219
22 09 2022,0.92236
21 09 2022,0.92051
20 09 2022,0.92207
19 09 2022,0.92322
16 09 2022,0.92358
15 09 2022,0.92949
14 09 2022,0.93078
13 09 2022,0.93615
12 09 2022,0.94176
9 09 2022,0.94156
8 09 2022,0.94354
7 09 2022,0.94201
6 09 2022,0.93887
5 09 2022,0.93885
2 09 2022,0.9396
1 09 2022,0.93554
31 08 2022,0.93391
30 08 2022,0.9232
29 08 2022,0.92843
26 08 2022,0.92712
25 08 2022,0.92249
24 08 2022,0.9246
23 08 2022,0.92723
22 08 2022,0.92919
19 08 2022,0.92408
18 08 2022,0.92953
17 08 2022,0.92758
16 08 2022,0.93616
15 08 2022,0.93029
12 08 2022,0.92861
11 08 2022,0.91974
10 08 2022,0.91434
9 08 2022,0.91483
8 08 2022,0.90824
5 08 2022,0.90462
4 08 2022,0.90637
3 08 2022,0.90485
2 08 2022,0.89553
1 08 2022,0.89612
29 07 2022,0.89569
28 07 2022,0.89843
27 07 2022,0.89221
26 07 2022,0.8897
25 07 2022,0.89102
22 07 2022,0.89003
21 07 2022,0.8899
20 07 2022,0.89227
19 07 2022,0.89851
18 07 2022,0.89841
15 07 2022,0.90401
14 07 2022,0.89879
13 07 2022,0.89716
12 07 2022,0.89675
11 07 2022,0.89003
8 07 2022,0.88864
7 07 2022,0.88873
6 07 2022,0.88661
5 07 2022,0.88803
4 07 2022,0.88506
1 07 2022,0.88483
30 06 2022,0.88918
29 06 2022,0.8882
28 06 2022,0.89045
27 06 2022,0.89037
24 06 2022,0.88816
23 06 2022,0.88753
22 06 2022,0.88615
21 06 2022,0.89017
20 06 2022,0.88495
17 06 2022,0.88492
16 06 2022,0.87825
15 06 2022,0.87824
14 06 2022,0.88112
13 06 2022,0.88468
10 06 2022,0.88468
9 06 2022,0.88118
8 06 2022,0.88389
7 06 2022,0.88889
6 06 2022,0.88877
3 06 2022,0.89037
2 06 2022,0.88795
1 06 2022,0.88937
31 05 2022,0.88547
30 05 2022,0.88235
27 05 2022,0.88432
26 05 2022,0.88519
25 05 2022,0.88552
24 05 2022,0.88663
23 05 2022,0.88947
20 05 2022,0.88596
19 05 2022,0.88931
18 05 2022,0.88881
17 05 2022,0.89026
16 05 2022,0.89168
13 05 2022,0.89054
12 05 2022,0.89453
11 05 2022,0.89969
10 05 2022,0.90855
9 05 2022,0.90389
6 05 2022,0.90604
5 05 2022,0.90818
4 05 2022,0.91112
3 05 2022,0.91277
2 05 2022,0.91054
29 04 2022,0.91045
28 04 2022,0.91138
27 04 2022,0.91155
26 04 2022,0.91238
25 04 2022,0.91232
22 04 2022,0.91488
21 04 2022,0.91681
20 04 2022,0.91529
19 04 2022,0.91348
18 04 2022,0.8993
15 04 2022,0.90363
14 04 2022,0.91161
13 04 2022,0.91272
12 04 2022,0.91844
11 04 2022,0.91683
8 04 2022,0.91442
7 04 2022,0.91036
6 04 2022,0.90849
5 04 2022,0.90774
4 04 2022,0.90418
1 04 2022,0.90701
31 03 2022,0.90531
30 03 2022,0.90698
29 03 2022,0.90964
28 03 2022,0.91428
25 03 2022,0.91479
24 03 2022,0.91386
23 03 2022,0.91491
22 03 2022,0.90865
21 03 2022,0.90936
18 03 2022,0.91693
17 03 2022,0.91725
16 03 2022,0.91773
15 03 2022,0.91494
14 03 2022,0.91992
11 03 2022,0.91856
10 03 2022,0.92076
9 03 2022,0.91935
8 03 2022,0.92386
7 03 2022,0.92772
4 03 2022,0.92659
3 03 2022,0.92377
2 03 2022,0.91972
1 03 2022,0.91442
28 02 2022,0.91137
25 02 2022,0.90814
24 02 2022,0.90933
23 02 2022,0.90803
22 02 2022,0.9082
21 02 2022,0.90866
18 02 2022,0.9105
17 02 2022,0.91234
16 02 2022,0.91766
15 02 2022,0.91594
14 02 2022,0.91321
11 02 2022,0.90934
10 02 2022,0.91058
9 02 2022,0.90927
8 02 2022,0.90363
7 02 2022,0.90404
4 02 2022,0.90894
3 02 2022,0.90814
2 02 2022,0.90766
1 02 2022,0.91179
31 01 2022,0.91146
28 01 2022,0.9076
27 01 2022,0.91495
26 01 2022,0.90368
25 01 2022,0.90654
24 01 2022,0.90892
21 01 2022,0.90966
20 01 2022,0.91196
19 01 2022,0.9167
18 01 2022,0.91553
17 01 2022,0.9122
14 01 2022,0.9097
13 01 2022,0.90834
12 01 2022,0.91324
11 01 2022,0.91768
10 01 2022,0.91307
7 01 2022,0.90885
6 01 2022,0.9125
5 01 2022,0.91782
4 01 2022,0.91985
3 01 2022,0.92039
31 12 2021,0.92535
30 12 2021,0.92955
29 12 2021,0.93309
28 12 2021,0.93886
27 12 2021,0.93845
24 12 2021,0.94541
23 12 2021,0.9443
22 12 2021,0.93987
21 12 2021,0.94151
20 12 2021,0.94105
17 12 2021,0.94005
16 12 2021,0.93822
15 12 2021,0.94239
14 12 2021,0.94214
13 12 2021,0.94387
10 12 2021,0.94523
9 12 2021,0.94572
8 12 2021,0.94713
7 12 2021,0.95106
6 12 2021,0.94785
3 12 2021,0.9484
2 12 2021,0.94784
1 12 2021,0.94469
30 11 2021,0.94777
29 11 2021,0.95216
26 11 2021,0.95135
25 11 2021,0.94854
24 11 2021,0.95119
23 11 2021,0.94904
22 11 2021,0.95226
19 11 2021,0.94401
18 11 2021,0.94377
17 11 2021,0.95074
16 11 2021,0.95751
15 11 2021,0.96214
12 11 2021,0.95543
11 11 2021,0.96113
10 11 2021,0.96218
9 11 2021,0.96076
8 11 2021,0.96048
5 11 2021,0.96422
4 11 2021,0.96826
3 11 2021,0.96542
2 11 2021,0.97169
1 11 2021,0.97095
29 10 2021,0.97027
28 10 2021,0.9646
27 10 2021,0.97115
26 10 2021,0.97108
25 10 2021,0.97129
22 10 2021,0.97292
21 10 2021,0.97192
20 10 2021,0.96921
19 10 2021,0.97279
18 10 2021,0.97034
15 10 2021,0.9729
14 10 2021,0.97484
13 10 2021,0.97183
12 10 2021,0.96531
11 10 2021,0.96105
8 10 2021,0.96519
7 10 2021,0.97326
6 10 2021,0.97496
5 10 2021,0.97523
4 10 2021,0.97253
1 10 2021,0.97592
30 09 2021,0.97136
29 09 2021,0.96923
28 09 2021,0.96782
27 09 2021,0.96633
24 09 2021,0.97013
23 09 2021,0.96435
22 09 2021,0.96006
21 09 2021,0.96663
20 09 2021,0.96489
17 09 2021,0.96614
16 09 2021,0.97127
15 09 2021,0.96954
14 09 2021,0.97862
13 09 2021,0.9755
10 09 2021,0.97343
9 09 2021,0.96541
8 09 2021,0.96094
7 09 2021,0.95826
6 09 2021,0.95005
3 09 2021,0.96253
2 09 2021,0.97661
1 09 2021,0.98134
31 08 2021,0.98426
30 08 2021,0.98523
27 08 2021,0.98572
26 08 2021,0.96773
25 08 2021,0.96111
24 08 2021,0.94673
23 08 2021,0.95009
20 08 2021,0.94341
19 08 2021,0.93778
18 08 2021,0.93967
17 08 2021,0.92511
16 08 2021,0.93698
13 08 2021,0.94521
12 08 2021,0.95619
11 08 2021,0.95552
10 08 2021,0.95855
9 08 2021,0.96437
6 08 2021,0.96751
5 08 2021,0.97665
4 08 2021,0.97594
3 08 2021,0.97891
2 08 2021,0.97814
30 07 2021,0.98391
29 07 2021,0.98362
28 07 2021,0.98311
27 07 2021,0.98061
26 07 2021,0.98205
23 07 2021,0.97934
22 07 2021,0.97808
21 07 2021,0.97564
20 07 2021,0.97711
19 07 2021,0.97742
16 07 2021,0.97469
15 07 2021,0.97327
14 07 2021,0.96897
13 07 2021,0.96569
12 07 2021,0.96271
9 07 2021,0.96933
8 07 2021,0.97298
7 07 2021,0.97305
6 07 2021,0.96931
5 07 2021,0.97102
2 07 2021,0.96882
1 07 2021,0.96777
30 06 2021,0.96863
29 06 2021,0.96778
28 06 2021,0.96745
25 06 2021,0.96476
24 06 2021,0.96408
23 06 2021,0.96699
22 06 2021,0.97055
21 06 2021,0.97234
18 06 2021,0.97298
17 06 2021,0.97374
16 06 2021,0.97013
15 06 2021,0.96786
14 06 2021,0.97222
11 06 2021,0.97115
10 06 2021,0.96695
9 06 2021,0.96707
8 06 2021,0.96919
7 06 2021,0.9741
4 06 2021,0.98104
3 06 2021,0.97998
2 06 2021,0.97938
1 06 2021,0.98121
31 05 2021,0.98251
28 05 2021,0.97838
27 05 2021,0.98034
26 05 2021,0.97983
25 05 2021,0.98222
24 05 2021,0.98353
21 05 2021,0.9844
20 05 2021,0.98296
19 05 2021,0.98427
18 05 2021,0.98767
17 05 2021,0.99007
14 05 2021,0.98672
13 05 2021,0.98824
12 05 2021,0.98697
11 05 2021,0.99114
10 05 2021,0.99955
7 05 2021,0.99819
6 05 2021,0.99893
5 05 2021,0.99689
4 05 2021,0.99614
3 05 2021,0.99677
30 04 2021,0.99302
29 04 2021,0.99062
28 04 2021,0.99038
27 04 2021,0.98949
26 04 2021,0.98945
23 04 2021,0.98778
22 04 2021,0.98982
21 04 2021,0.99301
20 04 2021,0.99328
19 04 2021,0.99671
16 04 2021,0.99479
15 04 2021,0.99268
14 04 2021,0.9926
13 04 2021,0.98767
12 04 2021,0.98546
9 04 2021,0.98618
8 04 2021,0.98911
7 04 2021,0.99381
6 04 2021,0.99449
5 04 2021,0.99393
2 04 2021,0.99208
1 04 2021,0.99001
31 03 2021,0.98935
30 03 2021,0.9854
29 03 2021,0.98381
26 03 2021,0.98766
25 03 2021,0.99467
24 03 2021,0.99864
23 03 2021,0.99659
22 03 2021,0.99653
19 03 2021,0.99681
18 03 2021,0.99584
17 03 2021,0.99293
16 03 2021,0.99466
15 03 2021,0.99513
12 03 2021,0.9987
11 03 2021,0.99678
10 03 2021,0.99322
9 03 2021,0.99755
8 03 2021,0.99058
5 03 2021,0.99329
4 03 2021,0.99135
3 03 2021,0.98512
2 03 2021,0.98971
1 03 2021,0.99078
26 02 2021,0.99237
25 02 2021,0.99719
24 02 2021,0.99296
23 02 2021,0.99255
22 02 2021,0.98994
19 02 2021,0.9903
18 02 2021,0.99274
17 02 2021,0.9917
16 02 2021,0.99198
15 02 2021,0.98717
12 02 2021,0.98582
11 02 2021,0.98063
10 02 2021,0.98672
9 02 2021,0.99048
8 02 2021,0.98928
5 02 2021,0.98642
4 02 2021,0.98129
3 02 2021,0.98109
2 02 2021,0.97852
1 02 2021,0.97404
29 01 2021,0.98358
28 01 2021,0.98228
27 01 2021,0.97767
26 01 2021,0.98153
25 01 2021,0.97805
22 01 2021,0.97627
21 01 2021,0.97314
20 01 2021,0.9765
19 01 2021,0.96916
18 01 2021,0.97247
15 01 2021,0.97458
14 01 2021,0.97547
13 01 2021,0.97666
12 01 2021,0.97337
11 01 2021,0.98215
8 01 2021,0.99027
7 01 2021,0.99388
6 01 2021,0.99005
5 01 2021,0.99155
4 01 2021,0.99322
1 01 2021,0.99074
31 12 2020,0.98463
30 12 2020,0.98517
29 12 2020,0.98192
28 12 2020,0.98154
25 12 2020,0.98136
24 12 2020,0.98742
23 12 2020,0.98777
22 12 2020,0.98439
21 12 2020,0.984
18 12 2020,0.99001
17 12 2020,0.9894
16 12 2020,0.99348
15 12 2020,0.99375
14 12 2020,0.99147
11 12 2020,0.98436
10 12 2020,0.98625
9 12 2020,0.9862
8 12 2020,0.98756
7 12 2020,0.97596
4 12 2020,0.97649
3 12 2020,0.97776
2 12 2020,0.97525
1 12 2020,0.97184
30 11 2020,0.97623
27 11 2020,0.98146
26 11 2020,0.99408
25 11 2020,1.00001
24 11 2020,0.99905
23 11 2020,0.99843
20 11 2020,0.99373
19 11 2020,0.99546
18 11 2020,0.99229
17 11 2020,0.98968
16 11 2020,0.98742
13 11 2020,0.99122
12 11 2020,0.99467
11 11 2020,0.9919
10 11 2020,0.99236
9 11 2020,1.00053
6 11 2020,1.00778
5 11 2020,1.00798
4 11 2020,1.00754
3 11 2020,1.00366
2 11 2020,1.00158
30 10 2020,1.00326
29 10 2020,1.00958
28 10 2020,1.011
27 10 2020,1.00842
26 10 2020,1.01085
23 10 2020,1.00982
22 10 2020,1.00861
21 10 2020,1.00855
20 10 2020,1.00627
19 10 2020,1.01155
16 10 2020,1.01482
15 10 2020,1.02007
14 10 2020,1.01925
13 10 2020,1.01765
12 10 2020,1.01637
9 10 2020,1.01917
8 10 2020,1.01774
7 10 2020,1.01903
6 10 2020,1.01958
5 10 2020,1.01952
2 10 2020,1.02013
1 10 2020,1.02006
30 09 2020,1.01992
29 09 2020,1.01507
28 09 2020,1.01424
25 09 2020,1.0153
24 09 2020,1.01031
23 09 2020,1.00764
22 09 2020,1.00394
21 09 2020,1.00245
18 09 2020,1.00315
17 09 2020,1.00249
16 09 2020,0.99948
15 09 2020,0.99867
14 09 2020,1.00011
11 09 2020,0.99977
10 09 2020,0.99802
9 09 2020,0.99779
8 09 2020,0.99891
7 09 2020,0.99503
4 09 2020,0.99551
3 09 2020,0.99487
2 09 2020,0.99431
1 09 2020,0.99228
31 08 2020,0.99317
28 08 2020,0.99186
27 08 2020,0.99251
26 08 2020,0.99907
25 08 2020,1.00099
24 08 2020,1.00198
21 08 2020,1.00372
20 08 2020,1.00373
19 08 2020,1.00765
18 08 2020,1.01061
17 08 2020,1.00784
14 08 2020,1.01121
13 08 2020,1.00497
12 08 2020,1.00389
11 08 2020,0.99885
10 08 2020,0.99882
7 08 2020,0.99798
6 08 2020,1.00136
5 08 2020,0.99942
4 08 2020,1.00059
3 08 2020,1.00023
31 07 2020,1.00103
30 07 2020,1.00066
29 07 2020,1.00077
28 07 2020,1.00385
27 07 2020,1.00481
24 07 2020,1.00473
23 07 2020,1.0091
22 07 2020,1.0062
