Date,Mid
3 10 2022,107.864
30 09 2022,107.962
29 09 2022,108.069
28 09 2022,108.101
27 09 2022,108.153
26 09 2022,108.75
23 09 2022,108.762
22 09 2022,108.916
21 09 2022,109.059
20 09 2022,109.378
19 09 2022,109.65
16 09 2022,109.27
15 09 2022,109.849
14 09 2022,109.743
13 09 2022,110.173
12 09 2022,110.638
9 09 2022,110.604
8 09 2022,110.703
7 09 2022,110.351
6 09 2022,109.803
5 09 2022,109.613
2 09 2022,109.183
1 09 2022,108.73
31 08 2022,108.579
30 08 2022,108.84
29 08 2022,108.837
26 08 2022,108.88
25 08 2022,108.834
24 08 2022,108.992
23 08 2022,109.126
22 08 2022,108.999
19 08 2022,108.499
18 08 2022,108.372
17 08 2022,108.477
16 08 2022,108.866
15 08 2022,108.329
12 08 2022,107.972
11 08 2022,107.002
10 08 2022,106.684
9 08 2022,106.757
8 08 2022,106.509
5 08 2022,106.199
4 08 2022,105.873
3 08 2022,105.249
2 08 2022,105.071
1 08 2022,105.386
29 07 2022,105.702
28 07 2022,105.861
27 07 2022,106.038
26 07 2022,105.368
25 07 2022,104.909
22 07 2022,104.743
21 07 2022,104.588
20 07 2022,104.563
19 07 2022,105.208
18 07 2022,105.319
15 07 2022,105.52
14 07 2022,105.029
13 07 2022,104.969
12 07 2022,104.926
11 07 2022,104.638
8 07 2022,104.229
7 07 2022,104.078
6 07 2022,103.612
5 07 2022,103.745
4 07 2022,103.727
1 07 2022,103.496
30 06 2022,103.538
29 06 2022,103.899
28 06 2022,103.684
27 06 2022,103.75
24 06 2022,103.799
23 06 2022,103.878
22 06 2022,103.753
21 06 2022,104.255
20 06 2022,103.885
17 06 2022,103.794
16 06 2022,103.036
15 06 2022,102.708
14 06 2022,103.126
13 06 2022,103.259
10 06 2022,103.259
9 06 2022,103.183
8 06 2022,103.568
7 06 2022,103.778
6 06 2022,103.423
3 06 2022,103.625
2 06 2022,103.545
1 06 2022,103.639
31 05 2022,103.32
30 05 2022,103.281
27 05 2022,103.092
26 05 2022,103.463
25 05 2022,103.675
24 05 2022,104.033
23 05 2022,103.996
20 05 2022,104.245
19 05 2022,104.225
18 05 2022,104.161
17 05 2022,104.05
16 05 2022,104.131
13 05 2022,103.834
12 05 2022,104.411
11 05 2022,104.312
10 05 2022,104.315
9 05 2022,104.025
6 05 2022,104.257
5 05 2022,104.461
4 05 2022,104.447
3 05 2022,104.497
2 05 2022,103.813
29 04 2022,103.736
28 04 2022,103.827
27 04 2022,104.203
26 04 2022,104.572
25 04 2022,104.592
22 04 2022,105.129
21 04 2022,105.427
20 04 2022,105.28
19 04 2022,105.358
18 04 2022,103.329
15 04 2022,103.46
14 04 2022,104.522
13 04 2022,104.453
12 04 2022,104.688
11 04 2022,104.623
8 04 2022,104.598
7 04 2022,104.317
6 04 2022,104.41
