Date,Mid
3 10 2022,48.255
30 09 2022,48.361
29 09 2022,48.397
28 09 2022,48.374
27 09 2022,48.368
26 09 2022,48.345
23 09 2022,48.418
22 09 2022,48.495
21 09 2022,48.588
20 09 2022,48.569
19 09 2022,48.537
16 09 2022,48.552
15 09 2022,48.706
14 09 2022,48.539
13 09 2022,48.508
12 09 2022,48.557
9 09 2022,48.597
8 09 2022,48.515
7 09 2022,48.53
6 09 2022,48.458
5 09 2022,48.438
2 09 2022,48.532
1 09 2022,48.596
31 08 2022,48.641
30 08 2022,48.539
29 08 2022,48.498
26 08 2022,48.631
25 08 2022,48.645
24 08 2022,48.669
23 08 2022,48.578
22 08 2022,48.393
19 08 2022,48.405
18 08 2022,48.512
17 08 2022,48.493
16 08 2022,48.702
15 08 2022,48.661
12 08 2022,48.514
11 08 2022,48.5
10 08 2022,48.491
9 08 2022,48.524
8 08 2022,48.631
5 08 2022,48.747
4 08 2022,48.629
3 08 2022,48.638
2 08 2022,48.714
1 08 2022,48.489
29 07 2022,48.566
28 07 2022,48.492
27 07 2022,48.317
26 07 2022,47.938
25 07 2022,48.061
22 07 2022,48.05
21 07 2022,48.061
20 07 2022,48.09
19 07 2022,48.07
18 07 2022,48.115
15 07 2022,48.135
14 07 2022,48.068
13 07 2022,47.923
12 07 2022,48.039
11 07 2022,48.056
8 07 2022,48.065
7 07 2022,48.124
6 07 2022,48.067
5 07 2022,48.054
4 07 2022,48.084
1 07 2022,48.07
30 06 2022,48.036
29 06 2022,48.042
28 06 2022,48.062
27 06 2022,48.022
24 06 2022,48.046
23 06 2022,48.009
22 06 2022,47.996
21 06 2022,48.08
20 06 2022,48.084
17 06 2022,48.123
16 06 2022,48.07
15 06 2022,48.069
14 06 2022,48.04
13 06 2022,48.014
10 06 2022,48.014
9 06 2022,48.038
8 06 2022,48.014
7 06 2022,48.0475
6 06 2022,48.045
3 06 2022,48.045
2 06 2022,48.06
1 06 2022,48.113
31 05 2022,48.192
30 05 2022,48.078
27 05 2022,48.066
26 05 2022,48.083
25 05 2022,48.076
24 05 2022,48.066
23 05 2022,48.13
20 05 2022,48.13
19 05 2022,48.17
18 05 2022,48.189
17 05 2022,48.185
16 05 2022,48.089
13 05 2022,48.012
12 05 2022,48.042
11 05 2022,48.041
10 05 2022,48.132
9 05 2022,48.18
6 05 2022,48.101
5 05 2022,48.053
4 05 2022,48.172
3 05 2022,48.304
2 05 2022,48.239
29 04 2022,48.331
28 04 2022,48.25
27 04 2022,48.25
26 04 2022,48.179
25 04 2022,48.194
22 04 2022,48.431
21 04 2022,48.547
20 04 2022,48.414
19 04 2022,48.244
18 04 2022,48.179
15 04 2022,48.306
14 04 2022,48.345
13 04 2022,48.301
12 04 2022,48.418
11 04 2022,48.56
8 04 2022,48.417
7 04 2022,48.469
6 04 2022,48.35
5 04 2022,48.38
4 04 2022,48.409
1 04 2022,48.579
31 03 2022,48.483
30 03 2022,48.502
29 03 2022,48.548
28 03 2022,48.646
25 03 2022,48.695
24 03 2022,48.643
23 03 2022,48.744
22 03 2022,48.614
21 03 2022,48.361
18 03 2022,48.49
17 03 2022,48.47
16 03 2022,48.473
15 03 2022,48.388
14 03 2022,48.496
11 03 2022,48.481
10 03 2022,48.476
9 03 2022,48.411
8 03 2022,48.491
7 03 2022,48.474
4 03 2022,48.485
3 03 2022,48.557
2 03 2022,48.48
1 03 2022,48.489
28 02 2022,48.48
25 02 2022,48.471
24 02 2022,48.429
23 02 2022,48.411
22 02 2022,48.46
21 02 2022,48.546
18 02 2022,48.57
17 02 2022,48.627
16 02 2022,48.62
15 02 2022,48.626
14 02 2022,48.585
11 02 2022,48.62
10 02 2022,48.582
9 02 2022,48.598
8 02 2022,48.46
7 02 2022,48.361
4 02 2022,48.569
3 02 2022,48.572
2 02 2022,48.543
1 02 2022,48.513
31 01 2022,48.714
28 01 2022,48.67
27 01 2022,48.62
26 01 2022,48.535
25 01 2022,48.597
24 01 2022,48.665
21 01 2022,48.86
20 01 2022,48.94
19 01 2022,48.917
18 01 2022,49.067
17 01 2022,49.104
14 01 2022,49.1
13 01 2022,49.082
12 01 2022,49.057
11 01 2022,49.12
10 01 2022,49.117
7 01 2022,49.06
6 01 2022,49.069
5 01 2022,49.2
4 01 2022,49.154
3 01 2022,49.332
31 12 2021,49.437
30 12 2021,49.356
29 12 2021,49.282
28 12 2021,49.346
27 12 2021,49.379
